word,definition,example
successfully,Accomplishing a desired aim or result.,"She successfully completed the marathon, despite the heat."
such,of the type previously mentioned or being demonstrated.,I've never seen such a beautiful sunset!
sudden,Happening quickly and unexpectedly.,There was a sudden crash of thunder.
suddenly,Quickly and unexpectedly.,"The lights suddenly went out, and we were plunged into darkness."
sue,To bring a legal case against someone in a court of law.,She decided to sue the company for unfair dismissal.
suffer,"To experience pain, distress, or hardship.",She had to suffer through a long illness before finally recovering.
sufficient,Enough; adequate.,We have sufficient food for everyone at the party.
sugar,"A sweet, crystalline carbohydrate.",I like to add a spoonful of sugar to my coffee.
suggest,To put forward an idea or possibility for consideration.,I suggest we order pizza for dinner tonight.
suggestion,An idea or plan put forward for consideration.,I have a suggestion: let's order pizza tonight.
suicide,The act of intentionally ending one's own life.,The community was devastated by the young man's suicide.
suit,,
summer,"The warmest season of the year, between spring and autumn.",We're planning a beach trip this summer.
summit,"The highest point of a mountain or hill; also, a meeting between leaders or governments.",The climbers finally reached the summit of Mount Everest after weeks of preparation.
sun,The star that provides light and warmth to the Earth.,The sun is shining brightly today.
super,,
supply,To make something available or provide something that is needed.,The bakery can supply bread for the party.
support,"To give help, encouragement, or approval to someone or something.",I support my local library by attending their events.
supporter,A person who approves of and encourages someone or something.,She's a huge supporter of animal rights and volunteers at the local shelter every week.
suppose,To assume to be true or likely.,"I suppose it will rain later today, judging by the clouds."
supposed,Expected or required to do something.,We are supposed to be at the meeting by 9 AM.
Supreme,"Highest in rank, power, or authority.",The Supreme Court is the highest court in the United States.
sure,Certain; without a doubt.,Are you sure you locked the door?
surely,Without a doubt; certainly.,Surely you're not going to wear that to the party?
surface,The outer layer or face of something.,The smooth surface of the table reflected the light.
